2ndFlrSF,HalfBath
0,0.13148371531966224
110,0.0
167,0.0
192,1.0
208,0.0
213,0.0
220,0.0
224,0.0
240,0.0
252,0.0
272,0.0
299,0.0
304,0.0
316,0.0
319,0.0
325,0.0
332,1.0
336,0.0
348,0.0
349,0.0
351,0.0
358,0.0
368,0.0
370,0.0
371,0.0
378,1.0
384,0.0
390,0.0
403,0.0
406,0.0
408,0.0
430,0.0
432,0.0
438,0.0
439,1.0
441,0.0
445,0.0
448,0.5
454,0.0
455,1.0
456,1.0
457,0.0
462,0.0
464,0.0
467,0.5
468,0.0
472,1.0
473,0.0
475,0.0
482,1.0
495,0.0
504,1.0
510,1.0
511,0.0
512,0.0
514,1.0
517,0.0
518,0.0
520,0.0
521,1.0
523,1.0
524,0.0
526,0.0
527,0.0
530,0.5
533,0.0
534,0.0
539,0.0
540,1.0
545,0.0
546,0.875
547,0.0
548,1.0
550,0.5
551,0.5
556,1.0
557,1.0
560,0.0
561,0.0
564,1.0
566,1.0
567,0.5
568,1.0
571,1.0
573,1.0
574,1.0
576,0.5
580,0.0
581,0.0
582,1.0
584,0.0
586,1.0
587,0.0
589,0.0
590,1.0
591,1.0
592,1.0
595,1.0
596,0.3333333333333333
600,0.7142857142857143
601,1.0
602,1.0
605,0.0
611,0.0
612,1.0
620,0.0
622,0.0
623,1.0
625,1.0
626,0.0
628,1.0
630,0.0
631,1.0
634,0.0
636,1.0
639,0.0
640,1.0
644,1.0
648,0.5
649,1.0
650,0.5
651,1.0
653,0.0
656,1.0
660,0.6666666666666666
661,0.0
664,0.0
665,0.0
668,0.3333333333333333
670,1.0
672,0.375
676,0.5
677,1.0
678,0.5
679,0.0
682,1.0
684,0.3333333333333333
685,0.5
686,0.0
687,0.0
688,1.0
689,0.4
691,0.0
694,1.0
695,1.0
698,0.0
700,0.0
701,1.0
702,1.25
703,0.5
704,1.0
707,1.0
708,1.0
709,1.0
711,1.0
712,1.0
713,0.0
714,1.0
716,0.5
717,1.0
720,0.5714285714285714
725,0.0
727,1.0
728,0.9
729,1.0
730,1.0
732,0.0
734,1.0
738,1.0
739,0.25
741,0.75
742,0.6666666666666666
743,1.0
744,1.0
745,0.0
748,0.0
750,1.0
752,0.0
754,1.0
755,0.5
756,0.8
761,1.0
762,1.0
764,0.5
765,0.5
766,1.0
767,0.0
768,1.0
769,1.0
772,1.0
776,1.0
778,2.0
779,1.0
780,0.6
783,1.0
784,1.0
785,1.0
787,1.0
788,1.0
790,1.0
793,1.0
795,0.6666666666666666
796,1.0
797,1.0
798,1.0
800,1.0
804,1.0
806,1.0
807,1.0
808,0.5
809,1.0
811,1.0
812,1.0
813,1.0
817,1.0
826,1.0
828,1.0
829,1.0
830,1.0
831,1.0
832,1.0
833,0.5
834,1.0
836,1.0
838,1.0
840,0.8
842,1.0
843,1.0
844,1.0
846,1.0
848,1.0
850,1.0
854,1.0
855,1.0
857,1.0
858,1.0
860,1.0
862,0.6
864,1.0
866,1.0
868,1.0
870,1.0
871,1.0
872,0.5
873,1.0
874,1.0
875,0.0
876,1.0
878,1.0
880,1.0
881,1.0
882,1.0
883,0.0
884,1.0
885,1.0
886,0.6666666666666666
887,0.5
888,1.0
892,1.0
895,1.0
896,1.0
898,1.0
900,0.5
901,1.0
902,1.0
903,1.0
904,1.0
908,1.0
910,1.0
912,1.5
913,1.0
914,1.0
915,0.6666666666666666
918,2.0
920,1.0
924,1.0
925,1.0
928,2.0
929,0.0
930,1.0
932,1.0
933,1.0
936,0.0
939,1.0
940,1.0
941,1.0
950,1.0
954,1.0
956,1.0
960,1.0
966,1.0
971,0.0
975,1.0
977,1.0
978,1.0
979,0.0
980,0.0
981,1.0
983,0.5
984,1.0
985,1.0
988,1.0
989,1.0
992,0.0
994,0.0
998,1.0
1000,0.0
1001,0.0
1015,1.0
1017,1.0
1020,0.5
1028,1.0
1031,0.0
1032,0.5
1037,1.0
1038,1.0
1039,1.0
1040,1.5
1044,0.0
1051,0.0
1053,1.0
1054,1.0
1060,1.0
1063,0.0
1066,1.0
1067,1.0
1070,1.0
1072,1.0
1080,1.0
1081,1.0
1088,1.0
1092,1.0
1093,1.0
1096,1.0
1097,1.0
1098,1.0
1100,1.0
1101,1.0
1103,1.0
1104,1.0
1106,1.0
1111,1.0
1112,1.0
1116,1.0
1120,0.0
1121,1.0
1122,1.0
1128,1.0
1129,1.0
1134,1.0
1140,1.0
1141,1.0
1142,0.5
1151,1.0
1152,0.0
1157,1.0
1160,1.0
1168,1.0
1169,0.0
1174,1.0
1175,1.0
1177,1.0
1178,1.0
1182,1.0
1185,1.0
1194,1.0
1196,0.0
1200,1.0
1203,1.0
1208,0.5
1215,0.5
1216,1.0
1218,1.0
1230,1.0
1237,1.0
1242,1.0
1243,1.0
1254,1.0
1257,1.0
1259,2.0
1274,1.0
1276,1.0
1281,1.0
1286,1.0
1288,1.0
1296,2.0
1304,1.0
1306,1.0
1312,1.0
1320,1.0
1323,1.0
1330,1.0
1332,1.0
1336,1.0
1347,1.0
1349,1.0
1357,1.0
1360,0.0
1362,0.0
1370,1.0
1392,1.0
1414,1.0
1426,1.0
1427,0.0
1440,0.0
1479,1.0
1518,1.0
1519,1.0
1523,0.0
1538,1.0
1540,1.0
1589,1.0
1611,1.0
1796,1.0
1818,0.0
1872,1.0
2065,1.0
