2ndFlrSF,OverallCond
0,5.515078407720145
110,7.0
167,6.0
192,6.0
208,7.0
213,5.0
220,5.0
224,4.0
240,6.5
252,5.5
272,7.0
299,6.0
304,5.0
316,8.0
319,7.0
325,7.0
332,7.0
336,5.0
348,7.0
349,6.0
351,5.0
358,8.0
368,6.0
370,8.0
371,7.0
378,6.0
384,6.5
390,9.0
403,5.0
406,8.0
408,5.5
430,4.0
432,5.5
438,5.0
439,6.0
441,3.0
445,6.5
448,5.0
454,3.0
455,6.0
456,7.0
457,4.0
462,5.0
464,8.0
467,6.0
468,4.0
472,5.0
473,6.0
475,4.0
482,5.0
495,6.0
504,5.555555555555555
510,6.0
511,7.0
512,8.0
514,8.0
517,5.0
518,4.0
520,5.5
521,7.0
523,6.0
524,5.0
526,3.0
527,7.0
530,6.0
533,7.0
534,6.0
539,7.0
540,8.0
545,7.0
546,5.25
547,7.0
548,6.0
550,6.5
551,4.75
556,8.0
557,6.0
560,7.0
561,6.0
564,7.0
566,5.0
567,5.5
568,4.5
571,5.0
573,5.0
574,6.5
576,3.5
580,6.0
581,8.0
582,7.0
584,6.0
586,6.0
587,6.0
589,6.0
590,5.0
591,6.0
592,4.0
595,6.0
596,6.0
600,5.714285714285714
601,5.5
602,7.0
605,5.0
611,8.0
612,5.0
620,6.0
622,7.0
623,5.0
625,5.0
626,7.0
628,5.0
630,8.0
631,5.0
634,8.0
636,8.0
639,4.0
640,5.0
644,5.0
648,4.5
649,7.0
650,7.0
651,6.5
653,3.0
656,5.0
660,6.0
661,6.0
664,7.0
665,6.0
668,5.0
670,5.0
672,6.25
676,6.0
677,5.0
678,5.5
679,2.0
682,8.0
684,5.666666666666667
685,5.5
686,6.0
687,6.0
688,5.5
689,6.2
691,7.0
694,5.0
695,5.0
698,6.5
700,7.0
701,5.0
702,5.25
703,7.0
704,7.0
707,5.0
708,6.0
709,5.0
711,5.0
712,5.0
713,7.0
714,5.0
716,5.0
717,5.0
720,5.857142857142857
725,7.0
727,6.0
728,5.5
729,5.0
730,7.0
732,5.0
734,5.0
738,5.0
739,5.0
741,6.25
742,5.333333333333333
743,5.0
744,5.5
745,5.0
748,7.0
750,5.0
752,5.0
754,8.5
755,5.0
756,5.4
761,7.0
762,6.0
764,6.5
765,5.5
766,5.0
767,7.0
768,4.0
769,5.0
772,7.0
776,5.0
778,5.0
779,5.0
780,6.6
783,5.0
784,5.0
785,5.0
787,7.0
788,5.0
790,6.5
793,5.666666666666667
795,6.333333333333333
796,5.0
797,5.0
798,5.0
800,5.0
804,6.0
806,4.5
807,5.333333333333333
808,6.0
809,6.0
811,7.0
812,5.0
813,5.5
817,9.0
826,9.0
828,5.0
829,5.0
830,5.0
831,8.0
832,6.0
833,6.0
834,6.0
836,5.0
838,5.0
840,5.6
842,5.0
843,6.0
844,5.0
846,5.0
848,5.0
850,5.5
854,5.0
855,6.0
857,6.0
858,5.333333333333333
860,5.0
862,5.4
864,5.0
866,5.333333333333333
868,5.0
870,5.0
871,5.333333333333333
872,6.0
873,5.0
874,5.0
875,6.0
876,5.0
878,5.0
880,5.0
881,5.0
882,5.0
883,8.0
884,6.5
885,5.0
886,5.0
887,5.5
888,6.0
892,5.0
895,7.0
896,5.5
898,5.0
900,5.0
901,6.0
902,5.0
903,5.0
904,5.0
908,5.0
910,8.0
912,5.5
913,5.0
914,5.0
915,5.0
918,6.0
920,5.0
924,5.0
925,4.0
928,7.0
929,6.0
930,5.0
932,5.0
933,6.0
936,5.0
939,5.0
940,6.0
941,5.5
950,5.0
954,5.0
956,5.0
960,6.0
966,5.0
971,6.0
975,5.0
977,5.0
978,6.5
979,6.0
980,8.0
981,5.0
983,5.0
984,5.0
985,5.0
988,5.0
989,6.0
992,5.0
994,4.0
998,3.0
1000,5.0
1001,6.0
1015,5.0
1017,5.0
1020,6.5
1028,5.0
1031,6.0
1032,4.5
1037,7.0
1038,5.0
1039,5.0
1040,5.0
1044,6.0
1051,8.0
1053,5.0
1054,5.0
1060,5.0
1063,5.0
1066,7.0
1067,5.0
1070,5.0
1072,5.0
1080,7.0
1081,5.0
1088,5.0
1092,5.0
1093,5.0
1096,5.0
1097,5.0
1098,5.0
1100,5.0
1101,5.0
1103,5.0
1104,5.0
1106,7.0
1111,8.0
1112,5.0
1116,5.0
1120,5.0
1121,5.0
1122,5.0
1128,5.0
1129,5.0
1134,5.0
1140,5.0
1141,5.0
1142,6.0
1151,5.0
1152,9.0
1157,5.0
1160,5.0
1168,7.0
1169,5.0
1174,5.0
1175,8.0
1177,5.0
1178,8.0
1182,5.0
1185,5.0
1194,5.0
1196,7.0
1200,7.0
1203,5.0
1208,6.0
1215,5.0
1216,5.0
1218,5.0
1230,4.0
1237,5.0
1242,5.0
1243,5.0
1254,7.0
1257,5.0
1259,5.0
1274,5.0
1276,5.0
1281,5.0
1286,5.0
1288,5.0
1296,5.0
1304,5.0
1306,5.0
1312,5.0
1320,6.0
1323,5.0
1330,6.0
1332,5.0
1336,5.0
1347,5.0
1349,5.0
1357,5.0
1360,4.0
1362,5.0
1370,5.0
1392,5.0
1414,5.0
1426,5.0
1427,5.0
1440,7.0
1479,9.0
1518,9.0
1519,5.0
1523,5.0
1538,5.0
1540,9.0
1589,5.0
1611,6.0
1796,5.0
1818,9.0
1872,6.0
2065,5.0
