GarageYrBlt,GrLivArea
1900.0,2291.0
1906.0,1469.0
1908.0,2358.0
1910.0,1832.6666666666667
1914.0,1776.0
1915.0,1715.5
1916.0,1633.6
1918.0,2868.0
1920.0,1389.857142857143
1921.0,974.3333333333334
1922.0,1261.4
1923.0,1426.0
1924.0,1264.3333333333333
1925.0,1487.4
1926.0,1266.5
1927.0,1028.0
1928.0,1349.75
1929.0,1535.5
1930.0,1460.25
1931.0,1417.0
1932.0,1961.6666666666667
1933.0,1513.0
1934.0,2338.0
1935.0,1440.0
1936.0,1463.0
1937.0,1563.0
1938.0,901.3333333333334
1939.0,1557.3333333333333
1940.0,1413.2857142857142
1941.0,1314.5
1942.0,1569.0
1945.0,1733.25
1946.0,1329.5
1947.0,1302.5
1948.0,1340.909090909091
1949.0,1476.875
1950.0,1390.2916666666667
1951.0,1460.1666666666667
1952.0,1384.0
1953.0,1328.25
1954.0,1272.3684210526317
1955.0,1365.1538461538462
1956.0,1111.1875
1957.0,1308.85
1958.0,1286.142857142857
1959.0,1264.9411764705883
1960.0,1479.9473684210527
1961.0,1280.6153846153845
1962.0,1266.4285714285713
1963.0,1235.375
1964.0,1334.888888888889
1965.0,1299.2857142857142
1966.0,1374.4761904761904
1967.0,1239.0666666666666
1968.0,1506.3461538461538
1969.0,1574.2666666666667
1970.0,1477.2
1971.0,1358.0
1972.0,1365.7857142857142
1973.0,1347.0
1974.0,1296.0
1975.0,1472.111111111111
1976.0,1473.7586206896551
1977.0,1477.6
1978.0,1465.157894736842
1979.0,1390.1333333333334
1980.0,1195.9333333333334
1981.0,1499.9
1982.0,1547.5
1983.0,1392.5714285714287
1984.0,1356.125
1985.0,1367.5
1986.0,1421.0
1987.0,1305.2727272727273
1988.0,1635.857142857143
1989.0,1529.4
1990.0,1770.0
1991.0,1535.3333333333333
1992.0,1828.1538461538462
1993.0,1889.1818181818182
1994.0,2005.7222222222222
1995.0,1845.9444444444443
1996.0,1775.95
1997.0,1700.2631578947369
1998.0,1754.258064516129
1999.0,1647.2
2000.0,1671.111111111111
2001.0,1739.8
2002.0,1719.2307692307693
2003.0,1707.56
2004.0,1585.5094339622642
2005.0,1557.0153846153846
2006.0,1732.2203389830509
2007.0,1698.5510204081634
2008.0,1882.0
2009.0,1799.904761904762
2010.0,1718.0
