Neighborhood,1stFlrSF
Blmngtn,1427.9411764705883
Blueste,638.5
BrDale,583.875
BrkSide,914.7241379310345
ClearCr,1307.2857142857142
CollgCr,1164.6266666666668
Crawfor,1264.7254901960785
Edwards,1093.06
Gilbert,942.506329113924
IDOTRR,835.1621621621622
MeadowV,724.2352941176471
Mitchel,1186.7551020408164
NAmes,1172.6222222222223
NPkVill,919.7777777777778
NWAmes,1316.4931506849316
NoRidge,1524.8292682926829
NridgHt,1579.7662337662337
OldTown,970.9557522123894
SWISU,1044.16
Sawyer,1113.3513513513512
SawyerW,1196.3898305084747
Somerst,1134.0581395348838
StoneBr,1548.32
Timber,1463.6842105263158
Veenker,1411.2727272727273
