Neighborhood,HalfBath
Blmngtn,0.11764705882352941
Blueste,1.0
BrDale,1.0
BrkSide,0.1206896551724138
ClearCr,0.32142857142857145
CollgCr,0.38666666666666666
Crawfor,0.4117647058823529
Edwards,0.19
Gilbert,0.810126582278481
IDOTRR,0.16216216216216217
MeadowV,0.47058823529411764
Mitchel,0.14285714285714285
NAmes,0.27555555555555555
NPkVill,0.5555555555555556
NWAmes,0.6027397260273972
NoRidge,0.9024390243902439
NridgHt,0.4155844155844156
OldTown,0.17699115044247787
SWISU,0.28
Sawyer,0.2972972972972973
SawyerW,0.4915254237288136
Somerst,0.5813953488372093
StoneBr,0.4
Timber,0.3684210526315789
Veenker,0.7272727272727273
