YearBuilt,MSSubClass
1872,70.0
1875,50.0
1880,71.25
1882,70.0
1885,110.0
1890,60.0
1892,72.5
1893,75.0
1898,75.0
1900,126.0
1904,70.0
1905,190.0
1906,50.0
1908,50.0
1910,85.29411764705883
1911,70.0
1912,113.33333333333333
1913,30.0
1914,77.14285714285714
1915,60.0
1916,71.25
1917,75.0
1918,50.714285714285715
1919,56.666666666666664
1920,55.0
1921,46.666666666666664
1922,39.375
1923,47.142857142857146
1924,43.57142857142857
1925,50.0
1926,45.55555555555556
1927,30.0
1928,49.285714285714285
1929,53.75
1930,56.666666666666664
1931,46.666666666666664
1932,60.0
1934,63.333333333333336
1935,70.0
1936,47.77777777777778
1937,46.0
1938,32.5
1939,88.125
1940,53.333333333333336
1941,59.333333333333336
1942,70.0
1945,46.666666666666664
1946,48.57142857142857
1947,44.0
1948,39.285714285714285
1949,51.25
1950,43.0
1951,20.0
1952,40.0
1953,36.666666666666664
1954,31.875
1955,52.5
1956,21.785714285714285
1957,21.5
1958,41.25
1959,28.46153846153846
1960,27.647058823529413
1961,46.42857142857143
1962,42.89473684210526
1963,39.0625
1964,48.666666666666664
1965,50.0
1966,48.05555555555556
1967,50.9375
1968,36.81818181818182
1969,48.57142857142857
1970,91.45833333333333
1971,68.63636363636364
1972,77.17391304347827
1973,108.18181818181819
1974,59.5
1975,41.875
1976,76.06060606060606
1977,54.6875
1978,71.25
1979,76.66666666666667
1980,100.0
1981,20.0
1982,41.666666666666664
1983,43.75
1984,71.11111111111111
1985,68.0
1986,76.0
1987,90.0
1988,57.27272727272727
1989,66.66666666666667
1990,50.0
1991,48.0
1992,61.15384615384615
1993,73.52941176470588
1994,43.1578947368421
1995,56.111111111111114
1996,61.666666666666664
1997,56.42857142857143
1998,67.2
1999,90.4
2000,78.33333333333333
2001,48.0
2002,43.47826086956522
2003,67.22222222222223
2004,69.25925925925925
2005,73.4375
2006,51.940298507462686
2007,42.857142857142854
2008,42.608695652173914
2009,52.22222222222222
2010,20.0
